viable = WIP drift (last-third mean - first-third mean, per day) < +5 on every seed AND scrap share <= 15%
slope = final-third OLS slope, diagnostic only. CT is over shipped lots only (survivor-biased). cons = (shipped+scrapped+dWIP)/starts.

scale  load  win rule        n  good/d  vs best  share   share min-max   CT d max drift max slope  cons  verdict
    8  1.00   60 cr          5    45.7   -20.6%  27.9%   23.3%- 31.2%   34.0      -1.6      +6.5  1.00   BREAKS
    8  1.00   60 fifo        5    53.7    -6.7%  12.7%    6.8%- 22.4%   34.6      -0.4      +2.0  1.00   BREAKS
    8  1.00   60 qt          5    56.2    -2.3%   2.0%    1.0%-  2.9%   37.0      +2.1     +10.1  1.00   viable
    8  1.00   60 qtfK6       5    57.6    +0.0%   1.3%    1.0%-  1.8%   37.0      +1.1      +8.8  1.00   viable
    8  1.00   60 qtfwK6s8    5    57.3    -0.4%   0.4%    0.0%-  1.2%   36.8      +0.7      +5.9  1.00   viable

    8  1.00   90 qt          2    57.4    -0.4%   2.2%    1.4%-  3.1%   37.0      -0.1      -3.9  1.00   viable
    8  1.00   90 qtfK6       2    57.2    -0.9%   1.2%    1.0%-  1.3%   37.1      +0.2      +0.3  1.00   viable
    8  1.00   90 qtfwK6s8    2    57.7    +0.0%   0.4%    0.2%-  0.5%   37.2      +2.1      -1.2  1.00   viable

    5  1.00   60 cr          5    42.3   -23.0%  32.0%   27.3%- 36.6%   32.0      +1.2      +7.7  1.00   BREAKS
    5  1.00   60 fifo        5    46.5   -15.5%  25.9%   22.6%- 29.4%   31.6      +0.2      +5.4  1.00   BREAKS
    5  1.00   60 qt          5    54.2    -1.4%   7.6%    6.8%-  8.0%   34.6      +0.3     +10.3  1.00   viable
    5  1.00   60 qtfK6       5    53.2    -3.3%   7.9%    6.9%-  9.4%   34.6      +2.2      +6.5  1.00   viable
    5  1.00   60 qtfwK6s8    5    55.0    +0.0%   2.4%    0.9%-  3.9%   35.3      +1.7      +5.7  1.00   viable

    5  1.00   90 qt          2    53.9    -2.5%   9.6%    9.4%-  9.7%   34.6      -0.0      +2.0  1.00   viable
    5  1.00   90 qtfK6       2    53.9    -2.5%   9.4%    8.5%- 10.3%   34.4      -1.5      -2.0  1.00   viable
    5  1.00   90 qtfwK6s8    2    55.2    +0.0%   4.9%    4.4%-  5.4%   35.7      -0.2      +1.0  1.00   viable

    4  1.00   60 fifo        5    43.0   -17.3%  27.5%   23.7%- 31.0%   29.7      +0.9      +1.7  1.00   BREAKS
    4  1.00   60 qt          5    47.1    -9.5%  18.8%   15.0%- 26.3%   31.7      +2.4      -1.0  1.00   BREAKS
    4  1.00   60 qtfK6       5    46.7   -10.3%  17.4%   16.0%- 18.8%   32.2      +4.4      -3.5  1.00   BREAKS
    4  1.00   60 qtfwK6s8    5    50.9    -2.2%   5.7%    3.8%-  8.1%   33.3      +6.7      +1.4  1.00   BREAKS
    4  1.00   60 qtfwK6s8Wqtfw  5    52.0    +0.0%   5.5%    2.7%-  7.3%   34.6      +2.9     +10.1  1.00   viable

    4  1.00   90 qtfwK6s8    2    52.4    +0.0%   6.4%    5.1%-  7.7%   33.7      +3.8      -2.9  1.00   viable

    3  1.00   60 cr          5    32.7   -33.8%  43.7%   41.6%- 46.5%   27.6      +1.4      +0.9  1.00   BREAKS
    3  1.00   60 fifo        5    36.0   -27.1%  37.9%   36.0%- 38.9%   27.4      +1.8      +1.0  1.00   BREAKS
    3  1.00   60 qt          5    37.4   -24.3%  34.4%   33.1%- 35.0%   28.2      +2.5      +8.0  1.00   BREAKS
    3  1.00   60 qtfK6       5    37.7   -23.7%  33.4%   30.2%- 37.0%   28.7      +4.0      +2.3  1.00   BREAKS
    3  1.00   60 qtfwK6s8    5    47.2    -4.5%   9.6%    7.4%- 10.9%   31.0      +6.7      +5.4  1.00   BREAKS
    3  1.00   60 qtfwK6s8Wqtfw  5    49.4    +0.0%  12.2%    9.2%- 15.8%   32.8      +1.8      +4.1  1.00   BREAKS

    3  1.00   90 qtfwK6s8    2    48.2    +0.0%  12.0%   11.9%- 12.0%   31.6      +2.7      -4.9  1.00   viable

    2  1.00   60 fifo        5    25.3   -42.4%  56.1%   53.0%- 57.8%   25.0      +1.5      -0.0  1.00   BREAKS
    2  1.00   60 qt          5    26.3   -40.1%  54.1%   52.0%- 55.8%   25.4      +0.9      -1.2  1.00   BREAKS
    2  1.00   60 qtfK6       5    26.1   -40.6%  54.3%   51.0%- 56.7%   25.5      +1.9      -1.1  1.00   BREAKS
    2  1.00   60 qtfwK6s8    5    41.2    -6.1%  21.8%   17.5%- 27.5%   28.9      +5.4      -1.6  1.00   BREAKS
    2  1.00   60 qtfwK6s8Wqtfw  5    43.9    +0.0%  23.5%   21.1%- 26.2%   29.9      +3.4      +6.5  1.00   BREAKS

    2  1.00   90 qtfwK6s8    2    42.1    +0.0%  21.5%   19.6%- 23.4%   29.3      +2.4      +1.1  1.00   BREAKS

    1  1.00   60 cr          5    13.7   -53.5%  75.9%   74.8%- 77.2%   22.2      +0.9      +2.8  1.00   BREAKS
    1  1.00   60 fifo        5    14.4   -51.2%  74.6%   73.4%- 76.9%   22.3      +1.4      +1.0  1.00   BREAKS
    1  1.00   60 qt          5    14.0   -52.5%  75.4%   74.3%- 76.0%   22.4      +0.8      +0.4  1.00   BREAKS
    1  1.00   60 qtfK6       5    14.7   -50.2%  73.9%   73.1%- 75.0%   22.5      +1.2      -1.1  1.00   BREAKS
    1  1.00   60 qtfwK6s8    5    29.5    +0.0%  45.1%   43.5%- 47.3%   25.0      +4.1      -1.5  1.00   BREAKS

viable (drift ok on every seed) by scrap-share cutoff:
scale  load  win rule          5%   10%   15%   25%
    8  1.00   60 cr            no    no    no    no
    8  1.00   60 fifo          no    no    no   yes
    8  1.00   60 qt           yes   yes   yes   yes
    8  1.00   60 qtfK6        yes   yes   yes   yes
    8  1.00   60 qtfwK6s8     yes   yes   yes   yes
    8  1.00   90 qt           yes   yes   yes   yes
    8  1.00   90 qtfK6        yes   yes   yes   yes
    8  1.00   90 qtfwK6s8     yes   yes   yes   yes
    5  1.00   60 cr            no    no    no    no
    5  1.00   60 fifo          no    no    no    no
    5  1.00   60 qt            no   yes   yes   yes
    5  1.00   60 qtfK6         no   yes   yes   yes
    5  1.00   60 qtfwK6s8     yes   yes   yes   yes
    5  1.00   90 qt            no   yes   yes   yes
    5  1.00   90 qtfK6         no    no   yes   yes
    5  1.00   90 qtfwK6s8      no   yes   yes   yes
    4  1.00   60 fifo          no    no    no    no
    4  1.00   60 qt            no    no    no    no
    4  1.00   60 qtfK6         no    no    no   yes
    4  1.00   60 qtfwK6s8      no    no    no    no
    4  1.00   60 qtfwK6s8Wqtfw    no   yes   yes   yes
    4  1.00   90 qtfwK6s8      no   yes   yes   yes
    3  1.00   60 cr            no    no    no    no
    3  1.00   60 fifo          no    no    no    no
    3  1.00   60 qt            no    no    no    no
    3  1.00   60 qtfK6         no    no    no    no
    3  1.00   60 qtfwK6s8      no    no    no    no
    3  1.00   60 qtfwK6s8Wqtfw    no    no    no   yes
    3  1.00   90 qtfwK6s8      no    no   yes   yes
    2  1.00   60 fifo          no    no    no    no
    2  1.00   60 qt            no    no    no    no
    2  1.00   60 qtfK6         no    no    no    no
    2  1.00   60 qtfwK6s8      no    no    no    no
    2  1.00   60 qtfwK6s8Wqtfw    no    no    no    no
    2  1.00   90 qtfwK6s8      no    no    no   yes
    1  1.00   60 cr            no    no    no    no
    1  1.00   60 fifo          no    no    no    no
    1  1.00   60 qt            no    no    no    no
    1  1.00   60 qtfK6         no    no    no    no
    1  1.00   60 qtfwK6s8      no    no    no    no
