# per-family tool count; families absent keep theirs
STNFAM	STNQTY
DE_BE_11	9
DE_BE_12	7
DE_BE_13	13
DE_BE_48	11
DE_BE_50	10
DE_BE_65	11
DE_BE_66	17
DE_BE_67	11
DE_BE_69	3
DE_FE_1	5
DE_FE_51	20
DE_FE_53	5
DE_FE_54	3
DE_FE_56	2
DE_FE_58	2
DE_FE_59	8
DE_FE_62	17
DE_FE_70	11
DE_FE_71	18
DE_FE_72	11
DE_FE_86	118
DefMEt_FE_118	2
DefMet_BE_33	2
DefMet_BE_42	1
DefMet_FE_10	2
DefMet_FE_106	1
DefMet_FE_34	2
DefMet_FE_43	5
Dielectric_BE_20	5
Dielectric_BE_21	6
Dielectric_BE_27	12
Dielectric_BE_28	3
Dielectric_BE_60	6
Dielectric_FE_112	9
Dielectric_FE_130	4
Dielectric_FE_29	3
Dielectric_FE_30	2
Dielectric_FE_31	4
Diffusion_BE_123	9
Diffusion_FE_100	3
Diffusion_FE_101	10
Diffusion_FE_120	8
Diffusion_FE_122	6
Diffusion_FE_125	5
Diffusion_FE_126	4
Diffusion_FE_127	8
Diffusion_FE_44	7
Diffusion_FE_94	13
EPI_36	2
EPI_38	1
Implant_119	2
Implant_128	11
Implant_132	7
Implant_74	2
Implant_88	2
Implant_90	2
Implant_91	7
LithoMet_BE_18	13
LithoMet_FE_19	16
LithoTrack_BE_117	5
LithoTrack_FE_115	41
LithoTrack_FE_95	40
LithoTrack_FE_96	2
Litho_BE_110	23
Litho_BE_93	4
Litho_BE_99	3
Litho_FE_111	20
Litho_FE_35	2
Litho_FE_92	26
Litho_FE_98	4
Litho_REG_BE_63	9
Litho_REG_FE_64	14
Planar_BE_75	14
Planar_FE_76	2
Planar_FE_77	2
Planar_FE_78	2
Planar_FE_79	4
Planar_FE_80	2
TF_BE_2	4
TF_BE_23	14
TF_BE_24	4
TF_BE_26	13
TF_BE_40	17
TF_FE_103	7
TF_FE_104	5
TF_FE_113	3
TF_FE_131	6
TF_FE_3	3
TF_FE_5	3
TF_Met_FE_45	2
TF_Met_FE_61	2
WE_BE_14	5
WE_BE_16	8
WE_BE_17	2
WE_BE_7	1
WE_BE_81	3
WE_BE_82	9
WE_BE_9	5
WE_FE_108	29
WE_FE_41	5
WE_FE_47	5
WE_FE_8	2
WE_FE_83	6
WE_FE_84	17
WE_FE_85	2
