# transport_s=60
# scanner_families=Litho_BE_110;Litho_BE_93;Litho_BE_99;Litho_FE_111;Litho_FE_35;Litho_FE_92;Litho_FE_98
PART	LAYER	RETICLE	COPIES
part_1	016_Litho	R_part_1_016_Litho	1
part_1	037_Litho	R_part_1_037_Litho	1
part_1	065_Litho	R_part_1_065_Litho	1
part_1	072_Litho	R_part_1_072_Litho	1
part_1	079_Litho	R_part_1_079_Litho	1
part_1	086_Litho	R_part_1_086_Litho	1
part_1	092_Litho	R_part_1_092_Litho	1
part_1	122_Litho	R_part_1_122_Litho	1
part_1	135_Litho	R_part_1_135_Litho	1
part_1	144_Litho	R_part_1_144_Litho	1
part_1	158_Litho	R_part_1_158_Litho	1
part_1	161_Litho	R_part_1_161_Litho	1
part_1	167_Litho	R_part_1_167_Litho	1
part_1	186_Litho	R_part_1_186_Litho	1
part_1	225_Litho	R_part_1_225_Litho	1
part_1	345_Litho	R_part_1_345_Litho	1
part_1	365_Litho	R_part_1_365_Litho	1
part_1	386_Litho	R_part_1_386_Litho	1
part_1	390_Litho	R_part_1_390_Litho	1
part_1	401_Litho	R_part_1_401_Litho	1
part_1	413_Litho	R_part_1_413_Litho	1
part_1	442_Litho	R_part_1_442_Litho	1
part_1	451_Litho	R_part_1_451_Litho	1
part_1	498_Litho	R_part_1_498_Litho	1
part_1	527_Litho	R_part_1_527_Litho	1
part_1	545_Litho	R_part_1_545_Litho	1
part_1	551_Litho	R_part_1_551_Litho	1
part_1	565_Litho	R_part_1_565_Litho	1
part_1	590_Litho	R_part_1_590_Litho	1
part_1	614_Litho	R_part_1_614_Litho	1
part_1	639_Litho	R_part_1_639_Litho	1
part_1	650_Litho	R_part_1_650_Litho	1
part_1	661_Litho	R_part_1_661_Litho	1
part_10	016_Litho	R_part_10_016_Litho	1
part_10	065_Litho	R_part_10_065_Litho	1
part_10	086_Litho	R_part_10_086_Litho	1
part_10	092_Litho	R_part_10_092_Litho	1
part_10	122_Litho	R_part_10_122_Litho	1
part_10	135_Litho	R_part_10_135_Litho	1
part_10	144_Litho	R_part_10_144_Litho	1
part_10	158_Litho	R_part_10_158_Litho	1
part_10	161_Litho	R_part_10_161_Litho	1
part_10	167_Litho	R_part_10_167_Litho	1
part_10	186_Litho	R_part_10_186_Litho	1
part_10	345_Litho	R_part_10_345_Litho	1
part_10	390_Litho	R_part_10_390_Litho	1
part_10	401_Litho	R_part_10_401_Litho	1
part_10	413_Litho	R_part_10_413_Litho	1
part_10	439_Litho	R_part_10_439_Litho	1
part_10	442_Litho	R_part_10_442_Litho	1
part_10	498_Litho	R_part_10_498_Litho	1
part_10	520_Litho	R_part_10_520_Litho	1
part_10	527_Litho	R_part_10_527_Litho	1
part_10	571_Litho	R_part_10_571_Litho	1
part_10	614_Litho	R_part_10_614_Litho	1
part_10	620_Litho	R_part_10_620_Litho	1
part_10	639_Litho	R_part_10_639_Litho	1
part_2	016_Litho	R_part_2_016_Litho	1
part_2	037_Litho	R_part_2_037_Litho	1
part_2	065_Litho	R_part_2_065_Litho	1
part_2	072_Litho	R_part_2_072_Litho	1
part_2	092_Litho	R_part_2_092_Litho	1
part_2	122_Litho	R_part_2_122_Litho	1
part_2	135_Litho	R_part_2_135_Litho	1
part_2	158_Litho	R_part_2_158_Litho	1
part_2	161_Litho	R_part_2_161_Litho	1
part_2	167_Litho	R_part_2_167_Litho	1
part_2	174_Litho	R_part_2_174_Litho	1
part_2	186_Litho	R_part_2_186_Litho	1
part_2	225_Litho	R_part_2_225_Litho	1
part_2	345_Litho	R_part_2_345_Litho	1
part_2	386_Litho	R_part_2_386_Litho	1
part_2	390_Litho	R_part_2_390_Litho	1
part_2	401_Litho	R_part_2_401_Litho	1
part_2	413_Litho	R_part_2_413_Litho	1
part_2	439_Litho	R_part_2_439_Litho	1
part_2	442_Litho	R_part_2_442_Litho	1
part_2	451_Litho	R_part_2_451_Litho	1
part_2	498_Litho	R_part_2_498_Litho	1
part_2	527_Litho	R_part_2_527_Litho	1
part_2	551_Litho	R_part_2_551_Litho	1
part_2	565_Litho	R_part_2_565_Litho	1
part_2	571_Litho	R_part_2_571_Litho	1
part_2	590_Litho	R_part_2_590_Litho	1
part_2	596_Litho	R_part_2_596_Litho	1
part_2	614_Litho	R_part_2_614_Litho	1
part_2	620_Litho	R_part_2_620_Litho	1
part_2	639_Litho	R_part_2_639_Litho	1
part_2	650_Litho	R_part_2_650_Litho	1
part_2	661_Litho	R_part_2_661_Litho	1
part_3	016_Litho	R_part_3_016_Litho	1
part_3	037_Litho	R_part_3_037_Litho	1
part_3	065_Litho	R_part_3_065_Litho	1
part_3	072_Litho	R_part_3_072_Litho	1
part_3	079_Litho	R_part_3_079_Litho	1
part_3	086_Litho	R_part_3_086_Litho	1
part_3	092_Litho	R_part_3_092_Litho	1
part_3	122_Litho	R_part_3_122_Litho	1
part_3	135_Litho	R_part_3_135_Litho	1
part_3	144_Litho	R_part_3_144_Litho	1
part_3	158_Litho	R_part_3_158_Litho	1
part_3	161_Litho	R_part_3_161_Litho	1
part_3	186_Litho	R_part_3_186_Litho	1
part_3	225_Litho	R_part_3_225_Litho	1
part_3	345_Litho	R_part_3_345_Litho	1
part_3	365_Litho	R_part_3_365_Litho	1
part_3	386_Litho	R_part_3_386_Litho	1
part_3	401_Litho	R_part_3_401_Litho	1
part_3	413_Litho	R_part_3_413_Litho	1
part_3	439_Litho	R_part_3_439_Litho	1
part_3	442_Litho	R_part_3_442_Litho	1
part_3	451_Litho	R_part_3_451_Litho	1
part_3	498_Litho	R_part_3_498_Litho	1
part_3	527_Litho	R_part_3_527_Litho	1
part_3	545_Litho	R_part_3_545_Litho	1
part_3	551_Litho	R_part_3_551_Litho	1
part_3	565_Litho	R_part_3_565_Litho	1
part_3	571_Litho	R_part_3_571_Litho	1
part_3	590_Litho	R_part_3_590_Litho	1
part_3	596_Litho	R_part_3_596_Litho	1
part_3	614_Litho	R_part_3_614_Litho	1
part_3	620_Litho	R_part_3_620_Litho	1
part_3	639_Litho	R_part_3_639_Litho	1
part_3	650_Litho	R_part_3_650_Litho	1
part_3	661_Litho	R_part_3_661_Litho	1
part_4	016_Litho	R_part_4_016_Litho	1
part_4	037_Litho	R_part_4_037_Litho	1
part_4	065_Litho	R_part_4_065_Litho	1
part_4	079_Litho	R_part_4_079_Litho	1
part_4	086_Litho	R_part_4_086_Litho	1
part_4	092_Litho	R_part_4_092_Litho	1
part_4	122_Litho	R_part_4_122_Litho	1
part_4	135_Litho	R_part_4_135_Litho	1
part_4	144_Litho	R_part_4_144_Litho	1
part_4	167_Litho	R_part_4_167_Litho	1
part_4	174_Litho	R_part_4_174_Litho	1
part_4	345_Litho	R_part_4_345_Litho	1
part_4	386_Litho	R_part_4_386_Litho	1
part_4	390_Litho	R_part_4_390_Litho	1
part_4	401_Litho	R_part_4_401_Litho	1
part_4	439_Litho	R_part_4_439_Litho	1
part_4	498_Litho	R_part_4_498_Litho	1
part_4	520_Litho	R_part_4_520_Litho	1
part_4	545_Litho	R_part_4_545_Litho	1
part_4	551_Litho	R_part_4_551_Litho	1
