# transport_s=0
# scanner_families=Litho_BE_110;Litho_BE_93;Litho_BE_99;Litho_FE_111;Litho_FE_35;Litho_FE_92;Litho_FE_98
PART	LAYER	RETICLE	COPIES
part_3	016_Litho	R_part_3_016_Litho	2
part_3	037_Litho	R_part_3_037_Litho	2
part_3	065_Litho	R_part_3_065_Litho	2
part_3	072_Litho	R_part_3_072_Litho	1
part_3	079_Litho	R_part_3_079_Litho	2
part_3	086_Litho	R_part_3_086_Litho	2
part_3	092_Litho	R_part_3_092_Litho	1
part_3	122_Litho	R_part_3_122_Litho	2
part_3	135_Litho	R_part_3_135_Litho	2
part_3	144_Litho	R_part_3_144_Litho	2
part_3	158_Litho	R_part_3_158_Litho	2
part_3	161_Litho	R_part_3_161_Litho	2
part_3	186_Litho	R_part_3_186_Litho	2
part_3	225_Litho	R_part_3_225_Litho	2
part_3	345_Litho	R_part_3_345_Litho	2
part_3	365_Litho	R_part_3_365_Litho	2
part_3	386_Litho	R_part_3_386_Litho	2
part_3	401_Litho	R_part_3_401_Litho	2
part_3	413_Litho	R_part_3_413_Litho	2
part_3	439_Litho	R_part_3_439_Litho	2
part_3	442_Litho	R_part_3_442_Litho	2
part_3	451_Litho	R_part_3_451_Litho	2
part_3	498_Litho	R_part_3_498_Litho	2
part_3	527_Litho	R_part_3_527_Litho	2
part_3	545_Litho	R_part_3_545_Litho	2
part_3	551_Litho	R_part_3_551_Litho	2
part_3	565_Litho	R_part_3_565_Litho	2
part_3	571_Litho	R_part_3_571_Litho	2
part_3	590_Litho	R_part_3_590_Litho	2
part_3	596_Litho	R_part_3_596_Litho	2
part_3	614_Litho	R_part_3_614_Litho	2
part_3	620_Litho	R_part_3_620_Litho	1
part_3	639_Litho	R_part_3_639_Litho	2
part_3	650_Litho	R_part_3_650_Litho	2
part_3	661_Litho	R_part_3_661_Litho	2
part_4	016_Litho	R_part_4_016_Litho	2
part_4	037_Litho	R_part_4_037_Litho	2
part_4	065_Litho	R_part_4_065_Litho	2
part_4	079_Litho	R_part_4_079_Litho	2
part_4	086_Litho	R_part_4_086_Litho	2
part_4	092_Litho	R_part_4_092_Litho	1
part_4	122_Litho	R_part_4_122_Litho	2
part_4	135_Litho	R_part_4_135_Litho	2
part_4	144_Litho	R_part_4_144_Litho	2
part_4	167_Litho	R_part_4_167_Litho	2
part_4	174_Litho	R_part_4_174_Litho	2
part_4	345_Litho	R_part_4_345_Litho	2
part_4	386_Litho	R_part_4_386_Litho	2
part_4	390_Litho	R_part_4_390_Litho	2
part_4	401_Litho	R_part_4_401_Litho	2
part_4	439_Litho	R_part_4_439_Litho	2
part_4	498_Litho	R_part_4_498_Litho	2
part_4	520_Litho	R_part_4_520_Litho	1
part_4	545_Litho	R_part_4_545_Litho	2
part_4	551_Litho	R_part_4_551_Litho	2
part_4	565_Litho	R_part_4_565_Litho	2
part_4	571_Litho	R_part_4_571_Litho	2
part_4	596_Litho	R_part_4_596_Litho	2
part_4	620_Litho	R_part_4_620_Litho	1
part_4	639_Litho	R_part_4_639_Litho	2
