# per-family tool count; families absent keep theirs
STNFAM	STNQTY
DE_BE_11	9
DE_BE_12	7
DE_BE_13	13
DE_BE_48	11
DE_BE_50	10
DE_BE_65	10
DE_BE_66	16
DE_BE_67	11
DE_BE_69	2
DE_FE_1	5
DE_FE_51	20
DE_FE_53	5
DE_FE_54	3
DE_FE_56	2
DE_FE_58	2
DE_FE_59	8
DE_FE_62	17
DE_FE_70	11
DE_FE_71	18
DE_FE_72	11
DE_FE_86	116
DefMEt_FE_118	2
DefMet_BE_33	2
DefMet_BE_42	2
DefMet_FE_10	2
DefMet_FE_106	2
DefMet_FE_34	2
DefMet_FE_43	5
Dielectric_BE_20	4
Dielectric_BE_21	6
Dielectric_BE_27	10
Dielectric_BE_28	3
Dielectric_BE_60	5
Dielectric_FE_112	8
Dielectric_FE_130	4
Dielectric_FE_29	3
Dielectric_FE_30	2
Dielectric_FE_31	4
Diffusion_BE_123	7
Diffusion_FE_100	3
Diffusion_FE_101	9
Diffusion_FE_120	7
Diffusion_FE_122	6
Diffusion_FE_125	4
Diffusion_FE_126	4
Diffusion_FE_127	7
Diffusion_FE_44	6
Diffusion_FE_94	12
EPI_36	2
EPI_38	2
Implant_119	2
Implant_128	8
Implant_132	5
Implant_74	2
Implant_88	2
Implant_90	2
Implant_91	5
LithoMet_BE_18	11
LithoMet_FE_19	14
LithoTrack_BE_117	5
LithoTrack_FE_115	39
LithoTrack_FE_95	35
LithoTrack_FE_96	2
Litho_BE_110	23
Litho_BE_93	4
Litho_BE_99	3
Litho_FE_111	20
Litho_FE_35	2
Litho_FE_92	26
Litho_FE_98	4
Litho_REG_BE_63	8
Litho_REG_FE_64	12
Planar_BE_75	10
Planar_FE_76	2
Planar_FE_77	2
Planar_FE_78	2
Planar_FE_79	3
Planar_FE_80	2
TF_BE_2	3
TF_BE_23	12
TF_BE_24	3
TF_BE_26	11
TF_BE_40	15
TF_FE_103	6
TF_FE_104	4
TF_FE_113	3
TF_FE_131	5
TF_FE_3	3
TF_FE_5	2
TF_Met_FE_45	2
TF_Met_FE_61	2
WE_BE_14	5
WE_BE_16	7
WE_BE_17	2
WE_BE_7	2
WE_BE_81	3
WE_BE_82	9
WE_BE_9	5
WE_FE_108	28
WE_FE_41	5
WE_FE_47	5
WE_FE_8	2
WE_FE_83	6
WE_FE_84	16
WE_FE_85	2
